[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :29 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :29 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :29 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :29 [°C], 72.16 RH, 925.71 mbar
[ 01:01:58 ]AAAA :29 [°C], 72.00 RH, 926.34 mbar
[ 01:01:58 ]CCCC :29 [°C], 71.22 RH, 926.34 mbar
[ 01:02:08 ]CCCC :29 [°C], 70.88 RH, 923.80 mbar
[ 01:02:08 ]AAAA :29 [°C], 71.71 RH, 926.34 mbar
[ 01:02:13 ]CCCC :29 [°C], 70.83 RH, 925.07 mbar
[ 01:02:13 ]AAAA :29 [°C], 71.71 RH, 925.71 mbar
[ 01:02:18 ]CCCC :29 [°C], 70.66 RH, 925.71 mbar
[ 01:02:18 ]AAAA :29 [°C], 71.62 RH, 925.07 mbar
[ 01:02:23 ]AAAA :29 [°C], 71.49 RH, 925.07 mbar
[ 01:02:23 ]CCCC :29 [°C], 70.61 RH, 925.71 mbar
[ 01:02:28 ]AAAA :29 [°C], 71.36 RH, 926.34 mbar
[ 01:02:28 ]CCCC :29 [°C], 70.49 RH, 925.71 mbar
[ 07:24:57 ]AAAA :28 [°C], 67.59 RH, 923.17 mbar
[ 07:24:57 ]DADE :26 [°C], 70.50 RH, 923.80 mbar
[ 07:25:12 ]AAAA :28 [°C], 67.10 RH, 923.17 mbar
[ 07:25:12 ]DADE :26 [°C], 70.51 RH, 923.17 mbar
[ 07:25:18 ]AAAA :28 [°C], 66.93 RH, 925.71 mbar
[ 07:25:18 ]DADE :26 [°C], 70.25 RH, 924.44 mbar
[ 07:25:23 ]DADE :26 [°C], 70.02 RH, 923.17 mbar
[ 07:25:23 ]AAAA :28 [°C], 66.85 RH, 923.17 mbar
[ 07:25:28 ]AAAA :28 [°C], 66.72 RH, 924.44 mbar
[ 07:25:28 ]DADE :26 [°C], 69.90 RH, 923.17 mbar
[ 07:25:33 ]DADE :26 [°C], 69.94 RH, 923.17 mbar
